iter	Passed	Remaining
396	8358	12695
397	8378	12673
398	8398	12651
399	8420	12630
400	8439	12606
401	8461	12586
402	8481	12565
403	8502	12542
404	8522	12521
405	8548	12507
406	8574	12493
407	8595	12471
408	8613	12447
409	8635	12426
410	8656	12404
411	8677	12384
412	8697	12361
413	8718	12340
414	8737	12316
415	8759	12296
416	8780	12275
417	8802	12256
418	8824	12236
419	8844	12214
420	8867	12194
421	8887	12173
422	8907	12150
423	8927	12127
424	8948	12107
425	8973	12090
426	8997	12073
427	9017	12051
428	9038	12030
429	9043	11987
430	9065	11968
431	9085	11945
432	9106	11924
433	9127	11903
434	9148	11882
435	9170	11862
436	9192	11842
437	9214	11822
438	9234	11800
439	9254	11777
440	9274	11755
441	9296	11736
442	9318	11716
443	9340	11696
444	9360	11674
445	9382	11655
446	9402	11632
447	9426	11614
448	9447	11593
449	9466	11570
450	9487	11549
451	9508	11528
452	9529	11506
453	9549	11484
454	9568	11461
455	9588	11438
456	9609	11417
457	9628	11394
458	9648	11372
459	9668	11349
460	9687	11326
461	9707	11304
462	9727	11282
463	9750	11263
464	9769	11240
465	9788	11217
466	9812	11198
467	9831	11176
468	9851	11154
469	9873	11133
470	9893	11111
471	9917	11093
472	9940	11075
473	9961	11054
474	9982	11033
475	10004	11012
476	10024	10991
477	10044	10969
478	10064	10947
479	10088	10929
480	10110	10909
481	10130	10887
482	10153	10867
483	10173	10846
484	10193	10824
485	10214	10803
486	10235	10781
487	10255	10759
488	10276	10738
489	10296	10716
490	10315	10693
491	10335	10671
492	10355	10649
493	10374	10626
494	10395	10605
495	10415	10583
496	10437	10563
497	10457	10541
498	10480	10522
499	10501	10501
500	10520	10478
501	10542	10458
502	10563	10437
503	10586	10418
504	10607	10397
505	10629	10377
506	10648	10354
507	10667	10331
508	10687	10309
509	10707	10287
510	10727	10266
511	10749	10245
512	10769	10223
513	10789	10201
514	10809	10180
515	10829	10158
516	10852	10138
517	10871	10115
518	10891	10093
519	10914	10074
520	10933	10051
521	10954	10031
522	10973	10008
523	10993	9986
524	11013	9964
525	11032	9941
526	11051	9919
527	11071	9897
528	11092	9875
529	11112	9854
530	11132	9832
531	11151	9810
532	11171	9788
533	11193	9768
534	11215	9748
535	11233	9724
536	11255	9704
537	11276	9683
538	11296	9661
539	11315	9639
540	11334	9616
541	11356	9596
542	11376	9574
543	11397	9553
544	11416	9531
545	11436	9509
546	11455	9486
547	11475	9465
548	11496	9443
549	11516	9422
550	11537	9401
551	11559	9381
552	11578	9359
553	11599	9338
554	11619	9316
555	11640	9295
556	11659	9273
557	11679	9251
558	11699	9229
559	11722	9210
560	11741	9188
561	11763	9167
562	11783	9146
563	11810	9130
564	11857	9128
565	11876	9107
566	11897	9085
567	11919	9065
568	11942	9046
569	11964	9026
570	11983	9003
571	12003	8981
572	12022	8959
573	12043	8937
574	12062	8915
575	12083	8894
576	12105	8874
577	12127	8854
578	12147	8832
579	12167	8811
580	12191	8791
581	12212	8771
582	12233	8750
583	12254	8729
584	12273	8706
585	12295	8686
586	12315	8664
587	12337	8644
588	12357	8622
589	12379	8602
590	12399	8581
591	12420	8560
592	12441	8539
593	12461	8517
594	12482	8496
595	12503	8475
596	12525	8454
597	12545	8433
598	12564	8411
599	12587	8391
600	12606	8369
601	12625	8347
602	12646	8325
603	12656	8298
604	12675	8275
605	12695	8254
606	12715	8232
607	12736	8211
608	12756	8189
609	12776	8168
610	12796	8147
611	12816	8125
612	12836	8103
613	12856	8082
614	12877	8061
615	12896	8039
616	12915	8017
617	12938	7997
618	12960	7977
619	12979	7955
620	13000	7933
621	13019	7912
622	13039	7890
623	13059	7869
624	13080	7848
625	13102	7827
626	13122	7806
627	13142	7785
628	13164	7764
629	13185	7743
630	13205	7722
631	13224	7700
632	13245	7679
633	13264	7657
634	13284	7635
635	13303	7614
636	13324	7592
637	13345	7572
638	13367	7552
639	13388	7531
640	13408	7509
641	13428	7488
642	13449	7467
643	13469	7445
644	13488	7423
645	13508	7402
646	13530	7382
647	13551	7361
648	13572	7340
649	13596	7321
650	13617	7300
651	13637	7278
652	13656	7257
653	13677	7236
654	13700	7216
655	13722	7195
656	13743	7175
657	13764	7154
658	13784	7132
659	13804	7111
660	13827	7091
661	13848	7070
662	13869	7050
663	13890	7029
664	13911	7007
665	13931	6986
666	13949	6964
667	13973	6944
668	13994	6924
669	14015	6902
670	14035	6881
671	14055	6860
672	14076	6839
673	14096	6818
674	14118	6797
675	14139	6777
676	14162	6756
677	14182	6735
678	14202	6714
679	14225	6694
680	14246	6673
681	14265	6651
682	14288	6631
683	14310	6611
684	14329	6589
685	14349	6568
686	14370	6547
687	14390	6525
688	14412	6505
689	14422	6479
690	14442	6458
691	14463	6437
692	14483	6416
693	14503	6394
694	14526	6374
695	14545	6353
696	14566	6332
697	14587	6311
698	14608	6290
699	14628	6269
700	14650	6248
701	14670	6227
702	14691	6206
703	14710	6185
704	14730	6164
705	14752	6143
706	14771	6121
707	14794	6101
708	14815	6080
709	14836	6059
710	14856	6038
711	14879	6018
712	14899	5997
713	14919	5976
714	14940	5955
715	14959	5933
716	14980	5912
717	15002	5892
718	15022	5871
719	15040	5849
720	15061	5828
721	15084	5808
722	15105	5787
723	15125	5765
724	15144	5744
725	15166	5724
726	15186	5702
727	15206	5681
728	15226	5660
729	15246	5639
730	15267	5618
731	15290	5598
732	15310	5576
733	15329	5555
734	15349	5534
735	15369	5512
736	15388	5491
737	15408	5470
738	15431	5450
739	15452	5429
740	15471	5407
741	15492	5386
742	15517	5367
743	15537	5346
744	15556	5324
745	15576	5303
746	15596	5282
747	15616	5261
748	15635	5239
749	15656	5218
750	15676	5197
751	15696	5176
752	15715	5155
753	15735	5133
754	15755	5112
755	15774	5091
756	15796	5070
757	15815	5049
758	15835	5027
759	15855	5007
760	15875	4986
761	15895	4964
762	15917	4944
763	15941	4924
764	15963	4903
765	15986	4883
766	16005	4862
767	16028	4841
768	16049	4821
769	16069	4799
770	16088	4778
771	16107	4757
772	16128	4736
773	16151	4716
774	16172	4695
775	16192	4674
776	16212	4653
777	16232	4631
778	16252	4610
779	16272	4589
780	16293	4568
781	16312	4547
782	16333	4526
783	16355	4505
784	16376	4485
785	16398	4464
786	16418	4443
787	16440	4423
788	16460	4401
789	16480	4380
790	16500	4359
791	16521	4338
792	16541	4317
793	16562	4297
794	16583	4276
795	16604	4255
796	16624	4234
797	16644	4213
798	16663	4191
799	16683	4170
800	16703	4149
801	16724	4128
802	16744	4107
803	16764	4086
804	16785	4066
805	16806	4045
806	16824	4023
807	16845	4002
808	16865	3981
809	16885	3960
810	16905	3939
811	16925	3918
812	16946	3897
813	16970	3877
814	16992	3857
815	17016	3836
816	17035	3815
817	17054	3794
818	17074	3773
819	17095	3752
820	17116	3731
821	17136	3710
822	17157	3690
823	17178	3669
824	17198	3648
825	17217	3627
826	17240	3606
827	17259	3585
828	17279	3564
829	17302	3543
830	17322	3522
831	17342	3501
832	17362	3480
833	17384	3460
834	17403	3439
835	17423	3417
836	17442	3396
837	17465	3376
838	17485	3355
839	17506	3334
840	17528	3313
841	17548	3293
842	17568	3272
843	17589	3251
844	17609	3230
845	17630	3209
846	17654	3189
847	17675	3168
848	17700	3148
849	17722	3127
850	17741	3106
851	17761	3085
852	17782	3064
853	17804	3043
854	17824	3022
855	17846	3002
856	17866	2981
857	17885	2960
858	17907	2939
859	17928	2918
860	17950	2898
861	17971	2877
862	17994	2856
863	18014	2835
864	18035	2814
865	18057	2794
866	18078	2773
867	18099	2752
868	18122	2731
869	18144	2711
870	18167	2690
871	18188	2669
872	18211	2649
873	18232	2628
874	18255	2607
875	18276	2587
876	18296	2566
877	18317	2545
878	18342	2524
879	18366	2504
880	18388	2483
881	18409	2463
882	18432	2442
883	18454	2421
884	18477	2401
885	18499	2380
886	18522	2359
887	18545	2339
888	18567	2318
889	18588	2297
890	18609	2276
891	18630	2255
892	18653	2235
893	18678	2214
894	18703	2194
895	18728	2173
896	18753	2153
897	18775	2132
898	18797	2111
899	18819	2091
900	18840	2070
901	18861	2049
902	18882	2028
903	18902	2007
904	18926	1986
905	18946	1965
906	18965	1944
907	18985	1923
908	19006	1902
909	19025	1881
910	19046	1860
911	19066	1839
912	19088	1818
913	19109	1798
914	19130	1777
915	19149	1756
916	19170	1735
917	19189	1714
918	19208	1693
919	19228	1672
920	19249	1651
921	19270	1630
922	19289	1609
923	19312	1588
924	19334	1567
925	19354	1546
926	19375	1525
927	19399	1505
928	19420	1484
929	19441	1463
930	19461	1442
931	19480	1421
932	19500	1400
933	19519	1379
934	19542	1358
935	19563	1337
936	19583	1316
937	19603	1295
938	19622	1274
939	19646	1254
940	19671	1233
941	19696	1212
942	19718	1191
943	19738	1170
944	19758	1149
945	19778	1129
946	19801	1108
947	19824	1087
948	19846	1066
949	19866	1045
950	19887	1024
951	19908	1003
952	19930	982
953	19952	962
954	19974	941
955	19997	920
956	20019	899
957	20043	878
958	20066	857
959	20085	836
960	20107	816
961	20131	795
962	20151	774
963	20175	753
964	20197	732
965	20218	711
966	20238	690
967	20258	669
968	20281	648
969	20305	628
970	20330	607
971	20353	586
972	20377	565
973	20397	544
974	20420	523
975	20439	502
976	20460	481
977	20483	460
978	20504	439
979	20525	418
980	20547	397
981	20568	377
982	20590	356
983	20611	335
984	20635	314
985	20660	293
986	20680	272
987	20699	251
988	20719	230
989	20740	209
990	20760	188
991	20780	167
992	20803	146
993	20824	125
994	20844	104
995	20864	83
996	20888	62
997	20910	41
998	20935	20
999	20984	0
